Spec,Price,product link
ADJUSTABLE FOLDING LAPTOP E-TABLE, 9300,https://www.jumia.com.ng/generic-adjustable-folding-laptop-e-table-76615470.html
Hp 15 Intel Core I5 10th Gen Touchscreen 12GB RAM 1TB HDD Windows 10 + 32GB Flash, 360000,https://www.jumia.com.ng/hp-15-intel-core-i5-10th-gen-touchscreen-12gb-ram-1tb-hdd-windows-10-32gb-flash-79503924.html
Adjustable Laptop Stand Foldable Tablet PC Notebook Stand, 7350,https://www.jumia.com.ng/generic-adjustable-laptop-stand-foldable-tablet-pc-notebook-stand-102514406.html
Hp Pavilion 15 Intel Pentium Quad Core 8GB RAM - FingerPrint Reader- 1TB HDD Windows 10 + 32GB Flash, 225000,https://www.jumia.com.ng/hp-pavilion-15-intel-pentium-quad-core-8gb-ram-fingerprint-reader-1tb-hdd-windows-10-32gb-flash-116243142.html
"Multifunctional Laptop Foldable Table,Bed Side Table", 8580,https://www.jumia.com.ng/generic-multifunctional-laptop-foldable-tablebed-side-table-80664946.html
Hp 15 Inch AMD RYZEN™ 3 - 2.6GHz - 3.5GHz -AMD Radeon Graphics 8GB RAM 1TB HDD Windows 10 +Mouse, 202000,https://www.jumia.com.ng/hp-15-inch-amd-ryzentm-3-2.6ghz-3.5ghz-amd-radeon-graphics-8gb-ram-1tb-hdd-windows-10-mouse-106705193.html
Hp Pavilion 15 Intel Core I3 - 8GB RAM - TOUCHSCREEN -10TH GEN- 1TB HDD Windows 10, 258000,https://www.jumia.com.ng/hp-pavilion-15-intel-core-i3-8gb-ram-touchscreen-10th-gen-1tb-hdd-windows-10-107060751.html
"Asus E210MA-GJ068T LAPTOP (CEL-N4020/4GB/128GB/11.6""HD/WIN10) - DREMY WHITE", 131580,https://www.jumia.com.ng/asus-e210ma-gj068t-laptop-cel-n40204gb128gb11.6hdwin10-dremy-white-99497679.html
"7~15.4 Inch Laptop Stand Also For Tablet Notebook, Laptops", 6500,https://www.jumia.com.ng/generic-715.4-inch-laptop-stand-also-for-tablet-notebook-laptops-100371823.html
Hp 14 Intel Celeron N4020 8GB RAM 1TB HDD Windows 10 + Mouse, 186350,https://www.jumia.com.ng/hp-14-intel-celeron-n4020-8gb-ram-1tb-hdd-windows-10-mouse-111364119.html
"Hp 14 10th Gen Intel Core I5 (12gb Ram, 1TB HDD) 14"" Wins 10 + Led Lamp", 360000,https://www.jumia.com.ng/hp-14-10th-gen-intel-core-i5-12gb-ram-1tb-hdd-14-wins-10-led-lamp-79503285.html
Lenovo INTEL® CELERON® Lenovo Ideapad 4GB RAM DDR4 - 1TB HDD WIN 10 +USB LIGHT & 32GB Flash, 142800,https://www.jumia.com.ng/lenovo-intelr-celeronr-lenovo-ideapad-4gb-ram-ddr4-1tb-hdd-win-10-usb-light-32gb-flash-115130466.html
"Hp 255 G8 AMD RYZEN 3,1TB HDD, 16GB RAM, 15.6"" Wins 10", 235000,https://www.jumia.com.ng/hp-255-g8-amd-ryzen-31tb-hdd-16gb-ram-15.6-wins-10-117264919.html
"Lenovo Ideapad Intel Celeron 1TB HDD 4GB RAM 15.6"" Windows 10+ Mouse", 143300,https://www.jumia.com.ng/lenovo-ideapad-intel-celeron-1tb-hdd-4gb-ram-15.6-windows-10-mouse-110789857.html
Hp 15 Intel Core I5 10th Gen Touchscreen 16GB RAM 1TB HDD Windows 10 + 32GB Flash, 380000,https://www.jumia.com.ng/hp-15-intel-core-i5-10th-gen-touchscreen-16gb-ram-1tb-hdd-windows-10-32gb-flash-76741058.html
"Hp Notebook 15 Intel Core I3 (16GB RAM, 1TB HDD)-Win 10 + MOUSE", 272000,https://www.jumia.com.ng/hp-notebook-15-intel-core-i3-16gb-ram-1tb-hdd-win-10-mouse-89003444.html
Hp 15 Inch AMD RYZEN™ 3 - 2.6GHz - 3.5GHz -AMD Radeon Graphics 12GB RAM 1TB HDD Windows 10 +Mouse, 210500,https://www.jumia.com.ng/hp-15-inch-amd-ryzentm-3-2.6ghz-3.5ghz-amd-radeon-graphics-12gb-ram-1tb-hdd-windows-10-mouse-106729132.html
Hp Notebook 15 - AMD RYZEN™ (4GB RAM 1TB HDD-WIN 10+ 32GB Flash, 195000,https://www.jumia.com.ng/hp-notebook-15-amd-ryzentm-4gb-ram-1tb-hdd-win-10-32gb-flash-107109259.html
Hp Pavilion 15 - Intel Core I5 - Touchscreen - 8GB RAM 1TB HDD Windows 10 Professional + 32GB Flash, 350000,https://www.jumia.com.ng/hp-pavilion-15-intel-core-i5-touchscreen-8gb-ram-1tb-hdd-windows-10-professional-32gb-flash-69029606.html
"Hp 15 10TH GEN INTEL CORE I5- 12GB RAM-1TB HDD,WIN 10 PRO +BAG", 330000,https://www.jumia.com.ng/hp-15-10th-gen-intel-core-i5-12gb-ram-1tb-hddwin-10-pro-bag-91113147.html
"Hp 14 10th Gen Intel Core I5 (12gb Ram, 1TB HDD) 14"" Wins 10 + Led Lamp", 360000,https://www.jumia.com.ng/hp-14-10th-gen-intel-core-i5-12gb-ram-1tb-hdd-14-wins-10-led-lamp-79503285.html
Hp 14-CF2206NIA LAPTOP (PENTIUM SILVER N5030/4GB/1TB/14.0 HD/WIN10H) - JET BLACK + FREE LAPTOP BAG, 180000,https://www.jumia.com.ng/hp-14-cf2206nia-laptop-pentium-silver-n50304gb1tb14.0-hdwin10h-jet-black-free-laptop-bag-86162625.html
Lenovo Ideapad Intel Celeron 1TB HDD 4GB RAM Win 10+ 32GB Flash, 141500,https://www.jumia.com.ng/lenovo-ideapad-intel-celeron-1tb-hdd-4gb-ram-win-10-32gb-flash-77056071.html
Lenovo AMD 14'' Lenovo 8GB RAM DDR4-1TB HDD WIN 10+USB LIGHT, 170000,https://www.jumia.com.ng/amd-14-lenovo-8gb-ram-ddr4-1tb-hdd-win-10usb-light-lenovo-mpg1657522.html
Foldable Portable Computer Stand Support Notebook Bracket, 7290,https://www.jumia.com.ng/generic-foldable-portable-computer-stand-support-notebook-bracket-57303521.html
"Hp 15 10th Gen Intel Core I3 12GB RAM,1TB HDD-WIN 10+ Free Bag", 285000,https://www.jumia.com.ng/hp-15-10th-gen-intel-core-i3-12gb-ram1tb-hdd-win-10-free-bag-78301131.html
Lenovo Ideapad 15.6inch AMD 3050e 1TB HDD 8GB RAM -Wins 10+ Free Bag, 171900,https://www.jumia.com.ng/lenovo-ideapad-15.6inch-amd-3050e-1tb-hdd-8gb-ram-wins-10-free-bag-98713265.html
Hp Stream 11 Intel Celeron D/C 4GB RAM- 32GB HDD WIN 10+ BAG, 110000,https://www.jumia.com.ng/hp-stream-11-intel-celeron-dc-4gb-ram-32gb-hdd-win-10-bag-69709204.html
Hp Stream 11 Pro Intel Celeron 4GB RAM- 64GB WIN 10, 115000,https://www.jumia.com.ng/hp-stream-11-pro-intel-celeron-4gb-ram-64gb-win-10-106010461.html
"Hp 14 10th Gen Intel Core I3 (8gb Ram, 1TB HDD) Wins 10", 276000,https://www.jumia.com.ng/hp-14-10th-gen-intel-core-i3-8gb-ram-1tb-hdd-wins-10-68144684.html
Hp Stream 11-Intel Celeron 64gb Ssd/4gb On Board+ 32GB Flash Mouse, 121000,https://www.jumia.com.ng/hp-stream-11-intel-celeron-64gb-ssd4gb-on-board-32gb-flash-mouse-81194838.html
"Hp Pavilion X 360 Convertible 14 11th Gen Core I3 (512GB SSD 8GB) FHD IPS LED Touchscreen, Win 10/11", 335000,https://www.jumia.com.ng/hp-pavilion-x-360-convertible-14-11th-gen-core-i3-512gb-ssd-8gb-fhd-ips-led-touchscreen-win-1011-111938168.html
Lcb Portable Laptop Stand - Black, 12500,https://www.jumia.com.ng/lcb-portable-laptop-stand-black-34414253.html
Hp 14 Inch AMD RYZEN™ 3- 2.6GHz - 3.5GHz - 12GB RAM 1TB HDD Windows 10+Mouse, 211000,https://www.jumia.com.ng/hp-14-inch-amd-ryzentm-3-2.6ghz-3.5ghz-12gb-ram-1tb-hdd-windows-10mouse-106708605.html
